idpozo,pet_2024,pet_2025,gas_2024,gas_2025,var_pet,var_gas
48866,784.54479,1796.0215,135.7747,35.186873,128.93,-74.08
48867,289.82936,205.350102,211.72667,27.89391,-29.15,-86.83
48868,302.02091,148.606292,4.552907,30.353588000000002,-50.8,566.69
48870,701.8228,356.2236,0.0,0.0,-49.24,
48871,1191.11808,950.07395,255.187993,74.223315,-20.24,-70.91
48872,730.60473,1094.6288,1.1110099999999998,2.799222,49.83,151.95
48874,546.7675,354.4582,1188.00129,127.583889,-35.17,-89.26
48875,285.10526,18.920088,242.101656,38.625369,-93.36,-84.05
48876,1134.3572100000001,1057.96925,4263.1278,3065.1336,-6.73,-28.1
48877,334.17766,152.315146,1531.9593399999999,2310.6109,-54.42,50.83
48878,466.24013,433.71369,663.61988,1056.69774,-6.98,59.23
48879,215.91063,211.66112,3.5805000000000002,2.809524,-1.97,-21.53
48880,503.36617,518.358746,56.446905,590.00289,2.98,945.24
48881,166.75120099999998,72.096089,0.0,0.0,-56.76,
48882,0.0,0.0,0.0,0.0,,
48883,0.0,0.0,0.0,0.0,,
48884,324.248104,348.55793,290.80897,150.461779,7.5,-48.26
48885,547.59336,410.48602,238.213271,40.309185,-25.04,-83.08
48886,630.61546,473.04481,254.41397,265.28184,-24.99,4.27
48887,0.0,0.0,0.0,0.0,,
48888,467.91695,355.4174,334.5058,404.09465,-24.04,20.8
48889,247.331548,150.52236,21.677672,7.277742,-39.14,-66.43
48890,51.169485,16.612898,3.054303,1.873354,-67.53,-38.67
48891,18.541759,0.0,2.159622,0.0,-100.0,-100.0
48892,552.34531,621.78524,237.179707,264.482611,12.57,11.51
48893,2337.9672,2467.9719,127.892575,74.47416700000001,5.56,-41.77
48894,180.6445,92.807978,100.167294,22.542057,-48.62,-77.5
48895,476.568854,2.811661,149.41521,0.854502,-99.41,-99.43
48896,152.607049,745.641488,9.983532,37.928103,388.6,279.91
48897,815.08925,742.5301400000001,1462.75245,1282.77062,-8.9,-12.3
48898,635.3310700000001,895.42721,820.90667,158.852505,40.94,-80.65
48899,281.35017,187.2582,295.28363,542.927144,-33.44,83.87
48900,370.3806,289.85228,87.326654,269.44811,-21.74,208.55
48901,899.79024,219.285353,296.87683,181.446144,-75.63,-38.88
48902,648.55297,311.86238000000003,353.080787,299.15709,-51.91,-15.27
48903,81.25963,148.12235,0.0,1.516229,82.28,
48904,0.521129,0.0,722.6699,0.0,-100.0,-100.0
48906,478.13663,247.06887,338.70633,156.41865,-48.33,-53.82
48907,414.936492,295.47689,50.42608,75.928647,-28.79,50.57
48908,507.15557,309.08659,53.197715,51.503884,-39.05,-3.18
48909,241.82659,332.57664,155.82296,304.99213,37.53,95.73
48910,1619.529,1651.5371,467.81497,618.36839,1.98,32.18
48911,158.497264,176.94024000000002,38.282413,21.055433999999998,11.64,-45.0
48912,1451.667,1373.2651,380.32336000000004,303.57706,-5.4,-20.18
48913,520.09338,431.91634,879.73791,651.00575,-16.95,-26.0
48914,1135.78978,836.65732,9529.1742,8375.6912,-26.34,-12.1
48915,265.8553,208.13463,128.660138,138.73287,-21.71,7.83
48916,264.248051,399.21163,333.469256,2.9048719999999997,51.07,-99.13
48917,137.723487,122.785542,3595.2369,3431.32297,-10.85,-4.56
48918,359.54599,270.49056,98.555466,17.676256,-24.77,-82.06
48919,873.972629,316.02387600000003,128.956003,11.400195,-63.84,-91.16
48920,196.796655,208.80898,18.400896,7.065057,6.1,-61.6
48922,291.38207,13.698951,206.81986799999999,68.47308,-95.3,-66.89
48923,143.75125,228.99319,0.007721,0.0,59.3,-100.0
48924,108.235176,185.662469,324.510776,13.7753,71.54,-95.76
48926,1704.64582,1983.3333,507.065521,398.52894000000003,16.35,-21.4
48928,216.68203,185.83487,271.964826,213.89089,-14.24,-21.35
48930,0.0,0.0,0.0,0.0,,
48931,629.97236,219.9621,69.235758,97.079041,-65.08,40.22
48932,0.0,0.0,0.0,0.0,,
48933,391.00805,319.53288,0.0,0.0,-18.28,
48934,589.28806,309.73139,1655.5457,826.10852,-47.44,-50.1
48936,404.664,178.907882,499.54667,382.04115,-55.79,-23.52
48938,978.69147,830.5529799999999,297.39226099999996,144.618411,-15.14,-51.37
48939,0.0,0.0,0.0,0.0,,
48940,1985.9587999999999,1458.1353,421.83261,210.79514,-26.58,-50.03
48941,0.0,0.0,0.0,0.0,,
48942,235.82905,297.13119,259.93556,302.12588,25.99,16.23
48943,176.211902,162.383008,0.7559899999999999,0.618177,-7.85,-18.23
48944,667.34921,711.17968,192.657199,244.27141,6.57,26.79
48945,560.69555,485.73113,201.54173,745.441349,-13.37,269.87
48946,915.56251,906.18427,54.45074,74.488731,-1.02,36.8
48947,2057.6355,3211.3297000000002,120.927762,129.836852,56.07,7.37
48948,334.76345,176.4369,915.31772,586.21933,-47.3,-35.95
48949,619.92801,1397.686728,73.663958,42.766458,125.46,-41.94
48950,292.5349,259.49249,132.17394,133.608888,-11.3,1.09
48951,255.23327,250.10097,95.945663,38.94853,-2.01,-59.41
48952,860.7296,747.63928,238.30814,222.779921,-13.14,-6.52
48953,1074.12621,1384.76299,288.741569,272.90943,28.92,-5.48
48954,746.13955,643.96871,652.9736800000001,619.22641,-13.69,-5.17
48955,170.66132,36.182417,0.334243,0.0,-78.8,-100.0
48956,398.4785,237.04133000000002,89.687215,28.436985,-40.51,-68.29
48957,0.0,0.0,0.0,0.0,,
48958,191.8225,0.178651,216.865937,0.035722,-99.91,-99.98
48959,792.02379,791.65887,271.515377,384.60146000000003,-0.05,41.65
48960,446.22174,609.11198,551.531,765.32411,36.5,38.76
48961,147.835576,232.54746,50.011955,39.058575,57.3,-21.9
48963,167.689497,200.29004,0.0037660000000000003,0.0023,19.44,-38.93
48965,351.24376,62.8876,41.824627,16.700604,-82.1,-60.07
48975,260.8307,171.24158,18.803957999999998,2.445815,-34.35,-86.99
