idpozo,1,2,3,4,5,6,7,8,9,10,11,primer_semestre,segundo_semestre,variacion
580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
586,116.0335,97.12605,128.5026,137.051,110.842,117.6817,119.7182,125.0038,126.4019,113.4633,4.242279,707.23685,488.829479,-30.88
588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
739,105.59,69.11,140.86,154.94,106.42,3.76,65.32,128.25,142.41,148.18,140.35,580.68,624.51,7.55
743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2787,32.06772,3.900264,6.311371,10.4403,19.33502,5.09782,3.464387,16.31783,5.658251,6.740616,11.12075,77.152495,43.301834,-43.88
2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3187,0.0,0.053916,0.072385,0.08157,0.11057,0.073341,0.103443,0.050073,0.089075,0.0,0.147099,0.39178199999999996,0.38969,-0.53
3188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216342,0.0,0.216342,
3189,0.0,0.053916,0.072385,0.08157,0.11057,0.073341,0.103443,0.050073,0.089075,0.0,0.865891,0.39178199999999996,1.108482,182.93
3190,0.0,0.053916,0.072385,0.08157,0.11057,0.073341,0.103443,0.050073,0.089075,0.0,1.720536,0.39178199999999996,1.963127,401.08
3191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045856,0.0,0.045856,
3193,0.0,0.065015,0.108576,0.122356,0.165859,0.11001,0.155167,0.075108,0.133611,0.0,0.959151,0.5718160000000001,1.323037,131.37
3194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512316,0.0,0.512316,
3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17769,0.0,0.17769,
3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000099,0.0,2.000099,
3197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3203,6.403938,6.100127,6.348445,5.896882,9.313033,11.37249,11.10132,5.433852,4.005,6.061027,4.270395,45.434915000000004,30.871593999999998,-32.05
3204,18.6916,25.64861,27.04822,24.75324,54.34089,66.56939,60.95579,26.57547,20.1728,31.81892,22.02869,217.05195,161.55167,-25.57
3206,72.07429,89.30385,102.7437,101.5871,114.8473,71.3442,67.02211,40.16879,38.52159,64.78283,51.23536,551.9004400000001,261.73068,-52.58
3207,8.930703,8.527304,8.992627,8.179441,16.55643,22.21796,21.70612,10.5866,8.269664,17.45256,11.42681,73.404465,69.441754,-5.4
3208,29.42019,25.43597,30.14252,27.10111,25.71479,25.07515,24.17609,11.75302,6.824344,14.03106,11.44584,162.88973000000001,68.23035399999999,-58.11
3209,13.53191,13.33462,10.22174,13.82842,15.27774,5.782101,28.861,12.51353,9.536055,16.42928,9.781293,71.976531,77.12115800000001,7.15
3210,13.79719,12.05938,9.002985,2.689666,0.0,0.0,0.0,2.246407,3.197369,5.234284,4.325773,37.549221,15.003832999999998,-60.04
3211,78.12044,77.32638,83.16678,69.74093,88.69054,100.6091,105.1676,56.74329,40.09276,65.29976,39.39036,497.65417,306.69377,-38.37
3212,7.098076,6.795652,7.177817,6.52874,7.385936,7.293598,7.065921,3.455111,2.549169,4.171514,2.951858,42.279819,20.193573,-52.24
3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3214,3.434245,4.390574,4.922455,4.494632,4.925359,3.959034,6.580063,5.439289,8.721093,11.28803,12.35312,26.126299,44.381595000000004,69.87
3218,82.60783,88.22485,95.30002,70.08169,83.13433,77.17636,73.52515,36.99804,27.66482,44.43237,27.37198,496.52507999999995,209.99236,-57.71
3219,4.347781,4.643413,5.01579,3.68851,4.375491,4.061914,3.869745,1.947265,1.456043,2.338546,1.440631,26.132899000000002,11.05223,-57.71
3220,18.93815,18.05939,19.13948,14.44448,19.03991,17.43116,18.02168,8.367095,6.479658,10.65608,6.487904,107.05257,50.012417,-53.28
3221,5.98047,5.702964,6.044046,4.561416,6.012603,5.504575,5.691057,2.642241,2.046208,3.365079,2.048812,33.806074,15.793396999999999,-53.28
3222,3.494173,1.393351,1.447682,1.331943,3.553555,7.91019,7.749323,3.821458,2.843627,4.660634,2.809187,19.130893999999998,21.884229,14.39
3224,13.97669,5.573402,5.79073,5.327773,14.21422,31.64076,30.99729,15.28583,11.37451,18.64254,11.23675,76.523575,87.53692,14.39
3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3228,18.21087,25.6682,38.52079,33.60028,21.77623,16.06639,17.34247,19.67654,9.673774,9.642622,17.26753,153.84276,73.602936,-52.16
3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3230,17.37504,22.74426,36.42144,33.14243,51.29566,59.52933,54.01795,25.61536,17.85513,30.95654,18.58422,220.50815999999998,147.02919999999997,-33.32
3233,8.767443,2.976269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.743712,0.0,-100.0
3234,3.757476,1.275544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0330200000000005,0.0,-100.0
3235,7.446445,9.747541,15.60919,14.2039,21.98385,25.51257,23.15055,10.97801,7.652197,13.26709,7.964665,94.503496,63.012512,-33.32
3237,19.62085398,14.21320905,5.555546987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.389610016999995,0.0,-100.0
3238,11.95531,9.692589,9.509431,9.666478,10.66238,9.923089,9.17075,3.479907,1.733412,3.435408,2.178546,61.409276999999996,19.998023,-67.43
3239,11.95531,9.692589,9.509431,9.666478,10.66238,9.923089,9.17075,3.479907,1.733412,3.435408,2.178546,61.409276999999996,19.998023,-67.43
3241,30.90220482,22.73164096,23.87910479,38.93511552,31.84215264,31.43595755,25.07858607,22.76432109,18.48036746,12.47295878,8.809720986,179.72617628,87.605954386,-51.26
3242,67.64826353,49.13854371,53.17755579,73.51465923,59.30139435,60.47229999,59.92576413,63.30188993,62.69318498,69.24114482,55.12660514,363.25271660000004,310.28858899999994,-14.58
3243,90.58274151,61.46894165,41.04398315,78.53074886,64.59397778,69.16765155,85.4632013,102.1688818,82.07452888,81.97928615,66.52332092,405.38804450000003,418.20921905,3.16
3244,20.47667432,8.129803714,4.45809728,9.174026251,7.460294584,36.23620575,49.64465407,56.05449568,51.35100891,17.29076763,23.1184691,85.93510189899999,197.45939539,129.78
3245,27.13101649,28.88882217,29.49667196,33.5665145,27.65306013,28.19249927,18.64152,22.73151384,30.21884842,35.0595731,30.78243442,174.92858452000002,137.43388978000002,-21.43
3248,28.63098819,20.39442181,24.27494459,35.93644495,29.32748892,29.66808437,24.14131558,21.03218564,23.74533911,24.39943805,19.19814657,168.23237283,112.51642495000002,-33.12
3249,50.06369722,43.9824506,59.72441056,57.64731247,49.00077491,39.3797123,41.06220053,51.33741283,47.64675082,33.27102538,46.018523,299.79835806,219.33591256,-26.84
3250,80.16641761,73.81843623,62.33970194,107.1138643,87.19727173,99.9511019,102.8552658,102.828963,124.3364967,121.9499422,75.33703034,510.58679371000005,527.30769804,3.27
3251,28.39692106,21.19037544,23.53481054,27.18270357,22.26119484,25.4837628,29.87247559,33.0173954,30.98071631,31.94047526,28.15179772,148.04976825,153.96286028,3.99
3252,41.03216117,29.96866227,28.20698905,29.74287632,25.22765868,26.16690712,25.0110787,11.6779519,1.652881556,0.000368204,3.384628502,180.34525460999998,41.72690886199999,-76.86
3255,96.05299524,67.57722355,76.48392628,61.60004934,72.0157377,62.65991701,77.29573526,78.4502243,66.04275633,69.11528409,43.0526642,436.38984912,333.95666418,-23.47
3256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3258,33.53147559,22.76686293,28.54195374,21.56732998,26.17315325,22.2330217,28.49213388,28.76498735,24.46397424,25.93186193,17.51986384,154.81379719,125.17282123999999,-19.15
3260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3262,0.404082761,0.300765182,0.320384026,0.215756767,0.299752876,0.250619169,0.307349069,0.324615285,0.282788163,0.401050392,0.359306177,1.791360781,1.675109086,-6.49
3263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3264,58.47366309,52.43256416,57.83389999,39.91268593,61.95351473,79.09653756,59.95967443,63.5644599,54.23259559,77.65611955,69.18085984,349.70286546,324.59370931,-7.18
3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3270,28.06797708,38.58922939,46.64254484,48.4422494,44.15267709,37.57583361,44.84820711,34.41425729,38.86240549,38.04841554,30.18897608,243.47051141,186.36226151,-23.46
3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3273,35.81955452,36.08754284,35.65791581,33.08517749,0.988092869,4.901549323,0.0,0.0,0.0,0.0,0.0,146.53983285200002,0.0,-100.0
3274,42.00547265,27.8620108,33.27817525,33.11143756,23.77967752,16.75615867,9.989042213,20.17575436,15.61016124,15.32994179,14.47735945,176.79293245000002,75.582259053,-57.25
3276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3287,34.44464294,37.64207405,26.235343,25.83171895,42.66121512,63.16765564,39.75257854,31.48601663,61.2609588,62.29173534,56.21107547,229.9826497,251.00236478,9.14
3297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3299,0.0,0.0,11.9041064,75.50450467,118.5652308,92.28218195,88.74039166,74.21907605,70.71967328,74.19966683,64.8081286,298.25602382,372.68693642000005,24.96
3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3308,28.10722599,28.79332633,44.16643644,41.39454146,35.69713966,30.65036527,31.91742896,36.8472941,29.37600709,23.46011127,16.97792745,208.80903515,138.57876887,-33.63
3309,21.69950595,20.08414809,27.02930563,30.20495726,30.36280011,24.97292039,25.23436398,25.38192862,24.57392477,22.64348356,6.22559681,154.35363743,104.05929773999999,-32.58
3310,29.80805555,32.81564945,41.87924948,35.09603234,30.71134046,31.95622311,29.8058809,28.86124772,27.31753566,29.82502481,26.88182842,202.26655039,142.69151751,-29.45
3312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3314,20.74417064,19.40274661,19.00968053,16.71778172,20.55276278,9.793442844,0.000446319,0.0,0.0,0.0,9.330075561,106.220585124,9.33052188,-91.22
3315,45.35967558,40.37992351,54.49806408,49.58326553,60.3899971,28.9226216,32.3626422,36.0072176,35.16070262,37.4700938,20.56546377,279.1335474,161.56611999,-42.12
3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3317,52.96002191,37.24287942,48.22955757,48.69799119,44.31201557,39.40296109,41.4690387,46.7536296,26.53771268,20.86097026,19.21412591,270.84542675,154.83547715,-42.83
3319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
