idpozo,empresa,provincia,tipo_de_recurso,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,inyeccion_total,eficiencia_pet
165216,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,30623.572,1205.963,6630.347000000001,0.0,0.0,254.283,0.0,
164510,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,30423.86227,2457.477428,8284.42403,0.0,0.0,347.49861,0.0,
165327,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,30366.09,2444.49,11455.94,0.0,0.0,220.31,0.0,
163421,YPF S.A.,Neuquén,NO CONVENCIONAL,30349.370000000003,5252.4400000000005,6033.23,0.0,0.0,344.8,0.0,
162974,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,30340.709,2483.0574,7539.1014,0.0,0.0,357.70626,0.0,
165509,YPF S.A.,Neuquén,NO CONVENCIONAL,30208.19,4709.28,8750.45,0.0,0.0,167.72,0.0,
163835,YPF S.A.,Neuquén,NO CONVENCIONAL,30156.7,3575.38,6269.37,0.0,0.0,363.25,0.0,
165168,YPF S.A.,Neuquén,NO CONVENCIONAL,30147.43,2066.89,15593.64,0.0,0.0,269.03000000000003,0.0,
164622,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,30047.957,2064.774,3724.66,0.0,0.0,358.794,0.0,
163326,YPF S.A.,Neuquén,NO CONVENCIONAL,29959.47,5149.91,2645.65,0.0,0.0,352.63,0.0,
165025,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,29951.478,28415.216,23780.417999999998,0.0,0.0,139.79166,0.0,
162485,YPF S.A.,Neuquén,NO CONVENCIONAL,29907.88,5488.33,16269.76,0.0,0.0,357.46,0.0,
164412,YPF S.A.,Neuquén,NO CONVENCIONAL,29907.61,5333.36,21290.89,0.0,0.0,328.3,0.0,
165423,YPF S.A.,Neuquén,NO CONVENCIONAL,29876.07,4357.110000000001,30549.42,0.0,0.0,199.08,0.0,
163969,SHELL ARGENTINA S.A.,Neuquén,NO CONVENCIONAL,29852.239999999998,2834.27,1292.02,0.0,0.0,317.88,0.0,
163330,YPF S.A.,Neuquén,NO CONVENCIONAL,29836.31,3799.63,13271.39,0.0,0.0,337.69,0.0,
165375,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,29698.135,3936.338,17228.247,0.0,0.0,204.17,0.0,
163842,YPF S.A.,Neuquén,NO CONVENCIONAL,29658.469999999998,5176.88,15637.85,0.0,0.0,352.14,0.0,
165494,YPF S.A.,Neuquén,NO CONVENCIONAL,29618.260000000002,2786.74,17379.29,0.0,0.0,179.51,0.0,
164352,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,29613.122000000003,28225.518,9140.39,0.0,0.0,167.33333,0.0,
